"Key","Title","Description","CategoryGroupID"
"1.5.2 ","1.5.2 Diefstallen (water)","A11 Diefstal uit/vanaf vaartuig
A75 Diefstal vaartuig
B11 Diefstal met geweld uit/vanaf vaartuig
B65 Diefstal met geweld vaartuig
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)",
"1.6.1 ","1.6.1 Brand/ontploffing","F13 Brandstichting
F14 Bomaanslag
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)",
"1.6.2 ","1.6.2 Overige vermogensdelicten","A27 Gekwal. Diefstal in/uit andere gebouwen
A36 Diefstal in/uit andere gebouwen (niet gekwal.)
A60 Diefstal van een dier
A80 Verduistering (evt. In dienstbetrekking)
A81 Heling
A82 Chantage / afpersing
A90 Overige (eenvoudige) diefstal
A95 Overige gekwal. Diefstal
B27 Gekwal. Diefstal met geweld in/uit andere gebouwen
B36 Diefstal met geweld in/uit andere gebouwen (niet gekwal.)
B95 Overige diefstallen met geweld
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)",
"1.6.3 ","1.6.3 Mensenhandel","F5293 Mensenhandel
F563 Mensenhandel uitbuiting in strafbare activiteiten
F564 Mensenhandel gedwongen orgaanverwijdering
F562 Mensenhandel arbeidsuitbuiting
F565 Mensenhandel overige vormen van uitbuiting
F561 Mensenhandel sexuele uitbuiting
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)",
"2.1.1 ","2.1.1 Drugs/drankoverlast","F47 Overige drugsdelicten
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)",
"2.2.1 ","2.2.1 Vernieling cq. zaakbeschadiging","C20 Vernieling van/aan openbaar vervoer/abri
C30 Vernieling van/aan openbaar gebouw
C40 Vernieling overige objecten
F11 Openlijke geweldpleging tegen goederen
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)",
"2.4.1 ","2.4.1 Burengerucht (relatieproblemen)","F95 Overtreding huisverbod
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)",
"2.4.2 ","2.4.2 Huisvredebreuk","F15 Huisvredebreuk
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)",
"2.5.1 ","2.5.1 Diefstal/inbraak bedrijven enz.","A22 Gekwal. Diefstal in/uit winkel
A23 Gekwal. Diefstal in/uit bedrijf/kantoor
A24 Gekwal. Diefstal in/uit sportcomplex
A25 Gekwal. Diefstal in/uit hotel/pension
A26 Gekwal. Diefstal in/uit school
A31 Diefstal in/uit school (niet gekwal.)
A32 Diefstal in/uit bedrijf/kantoor (niet gekwal.)
A33 Diefstal in/uit hotel/pension (niet gekwal.)
A35 Diefstal in/uit sportcomplex (niet gekwal.)
B22 Gekwal. Diefstal met geweld in/uit winkel
B23 Gekwal. Diefstal met geweld in/uit bedrijf/kantoor
B24 Gekwal. Diefstal met geweld in/uit sportcomplex
B25 Gekwal. Diefstal met geweld in/uit hotel/pension
B26 Gekwal. Diefstal met geweld in/uit school
B31 Diefstal met geweld in/uit school (niet gekwal.)
B32 Diefstal met geweld in/uit bedrijf/kantoor (niet gekwal.)
B33 Diefstal met geweld in/uit hotel/pension (niet gekwal.)
B35 Diefstal met geweld in/uit sportcomplex (niet gekwal.)
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)",
"2.5.2 ","2.5.2 Winkeldiefstal","A50 Winkeldiefstal
B50 Winkeldiefstal met geweld
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)",
